year,january,february,march,april,may,june,july,august,september,october,november,december
1950,8.2,9.9,11.3,11.5,16.5,22.2,25.7,23.1,20.8,17.3,13.3,5.8
1951,7.9,8.0,9.8,11.6,14.1,20.0,22.6,21.7,20.3,14.7,11.8,9.4
1952,5.5,7.4,12.2,13.6,17.8,22.4,24.4,23.7,19.0,16.9,11.1,8.2
1953,6.6,6.9,9.9,13.4,18.6,18.4,21.9,23.2,21.0,16.4,13.0,11.1
1954,5.9,6.6,10.5,11.5,14.9,19.5,20.6,21.7,20.5,17.7,13.5,10.0
1955,10.5,8.4,9.6,13.9,16.7,19.5,23.5,23.0,20.1,15.5,11.4,10.5
1956,8.7,2.3,10.3,11.3,16.9,17.6,22.4,22.2,21.2,15.3,9.2,8.0
1957,7.1,10.8,12.1,12.5,14.1,18.5,22.0,22.0,20.5,15.4,10.9,7.7
1958,7.1,10.2,10.2,11.2,17.2,19.4,22.1,23.0,22.0,16.2,11.8,9.6
1959,8.1,9.2,11.3,13.5,15.8,19.7,24.1,22.6,19.6,15.2,10.6,8.8
1960,7.9,9.4,11.1,12.9,18.0,20.7,21.2,22.2,18.7,14.3,11.8,6.5
1961,7.1,10.8,12.0,14.8,16.7,20.7,22.8,22.5,21.6,16.2,11.5,10.3
1962,9.3,7.8,9.1,12.3,14.9,19.5,22.4,24.0,21.3,17.0,9.2,6.7
1963,5.9,5.2,10.7,12.7,16.0,19.4,23.7,21.3,18.8,16.6,13.2,7.1
1964,7.2,9.0,10.2,12.7,18.3,21.0,24.5,22.9,21.5,14.8,12.5,7.9
1965,7.5,5.6,10.6,12.5,17.1,21.1,22.5,22.4,18.1,16.7,11.3,9.2
1966,8.6,11.0,10.6,14.0,16.1,20.5,20.9,21.9,21.6,16.2,9.3,8.8
1967,7.8,9.1,11.7,12.6,15.7,18.7,24.7,23.3,20.3,17.9,12.7,7.3
1968,8.5,8.8,9.8,13.0,15.7,19.0,22.1,21.4,20.2,18.9,12.3,9.0
1969,8.3,6.7,10.0,12.0,16.4,17.7,23.2,22.6,18.8,16.6,11.0,6.8
1970,9.3,8.3,8.3,12.0,15.7,21.0,22.7,22.6,22.2,16.2,13.6,6.4
1971,7.6,9.0,7.4,13.2,14.9,18.5,23.5,24.1,20.3,17.1,8.9,9.0
1972,7.0,8.8,10.8,11.8,14.3,17.5,21.9,20.4,16.8,14.9,12.5,8.8
1973,8.0,7.7,9.2,11.4,16.8,20.2,23.4,24.1,20.5,15.6,11.8,7.6
1974,9.7,8.3,10.0,11.2,15.8,19.3,22.9,23.0,19.0,11.9,11.4,9.6
1975,9.7,9.2,8.4,12.4,14.7,18.7,23.3,23.8,19.5,15.7,11.2,7.7
1976,8.0,8.6,10.8,11.8,16.5,22.8,22.9,21.6,18.7,14.6,9.7,9.3
1977,7.9,10.9,11.7,12.6,13.9,17.9,20.4,20.8,20.0,17.3,11.9,9.5
1978,6.2,9.2,10.9,10.4,14.8,18.1,21.3,22.7,21.3,15.3,11.2,9.8
1979,7.9,9.4,10.6,11.5,15.8,20.7,24.2,22.8,19.9,16.2,10.9,9.2
1980,7.1,10.0,10.5,11.1,14.3,17.6,20.6,23.5,21.4,16.1,10.5,7.0
1981,7.1,7.1,12.8,12.5,14.9,20.8,21.4,23.5,20.8,17.0,12.8,9.8
1982,10.3,9.0,9.6,13.1,16.2,21.5,25.7,22.5,21.2,16.2,12.1,9.1
1983,9.4,6.7,10.9,13.2,15.7,20.4,25.6,22.4,21.7,17.8,13.1,10.2
1984,8.2,7.5,8.9,12.5,13.2,19.0,23.5,22.1,18.9,15.5,12.8,8.6
1985,4.2,10.6,9.4,13.8,14.5,19.0,24.5,22.4,22.5,17.3,9.5,9.5
1986,7.3,7.2,10.7,10.6,18.1,20.0,23.3,23.4,21.1,17.1,12.6,8.9
1987,6.8,7.9,9.7,13.6,14.8,19.3,23.3,24.0,23.5,16.6,11.0,10.7
1988,9.5,8.6,11.1,12.9,16.1,19.5,23.3,24.0,20.8,17.5,11.6,8.7
1989,8.7,10.4,12.3,11.7,17.5,20.8,24.7,24.1,19.6,17.4,12.6,11.1
1990,8.9,12.5,12.5,12.1,17.8,19.7,23.8,24.3,21.1,16.9,10.7,6.6
1991,8.0,7.9,11.7,11.3,13.7,19.3,24.0,24.3,21.6,14.8,10.7,8.4
1992,7.0,8.8,10.9,13.5,17.4,17.2,22.1,24.0,20.1,14.1,13.3,9.2
1993,9.0,8.1,10.1,12.6,16.7,21.1,22.2,24.1,19.2,14.2,10.3,9.3
1994,8.3,9.4,13.0,12.1,16.9,20.5,25.5,25.4,19.3,15.8,13.8,9.7
1995,8.6,11.5,10.8,13.8,16.9,19.3,24.6,23.1,18.4,18.0,12.7,10.0
1996,10.1,7.6,9.8,13.0,15.9,20.8,23.1,22.4,17.9,15.5,11.3,9.6
1997,8.6,11.3,13.8,13.9,17.4,19.8,22.1,24.3,21.3,18.6,12.4,9.2
1998,8.8,11.0,12.2,12.8,17.7,20.9,23.7,24.4,20.7,15.9,10.9,8.8
1999,8.8,8.6,11.6,13.7,18.6,20.5,23.5,24.6,21.7,17.1,9.7,9.1
2000,7.7,11.4,12.6,13.4,18.3,21.0,22.9,24.6,21.0,16.0,11.4,11.1
2001,9.9,10.2,14.8,13.8,18.2,22.0,23.7,25.0,19.6,19.5,10.7,6.8
2002,9.2,11.1,12.3,13.7,15.6,22.4,23.0,21.6,20.0,17.4,13.1,10.4
2003,7.9,7.2,12.1,14.0,18.0,25.6,26.2,28.5,20.9,15.2,12.7,8.8
2004,9.4,8.7,10.0,12.8,16.2,22.4,23.5,25.2,21.4,18.9,11.5,9.3
2005,7.2,6.5,10.2,14.0,18.8,23.5,24.4,23.1,20.7,18.0,11.1,6.6
2006,7.4,8.5,12.0,15.1,18.8,22.1,27.1,22.8,21.6,18.8,14.7,10.0
2007,9.9,11.4,12.1,15.0,17.9,22.0,23.6,22.5,20.6,16.5,11.2,8.8
2008,10.1,10.2,10.8,13.8,16.7,20.7,23.8,24.4,20.7,16.5,10.3,7.6
2009,7.2,8.8,11.3,13.1,18.8,23.0,24.4,26.3,21.5,17.9,13.5,9.0
2010,6.6,8.0,9.6,14.2,15.4,20.3,25.7,24.3,21.0,16.2,11.1,8.6
2011,8.5,10.0,10.9,15.9,18.4,19.6,21.2,24.1,22.9,19.2,14.1,10.2
2012,9.5,6.8,13.4,12.5,17.9,22.3,23.2,26.0,21.4,17.3,12.7,9.9
2013,9.1,7.7,11.2,13.5,14.6,19.6,25.6,24.9,22.0,19.5,12.2,10.1
2014,9.8,10.1,12.3,15.3,16.2,21.7,22.6,23.1,22.0,19.6,13.7,9.1
2015,9.0,8.2,12.0,14.8,19.1,23.2,25.9,23.5,19.7,16.7,14.3,12.6
2016,10.7,11.3,,,,,,,,,,
